eng,tid,fam,reg,grp,bid,ord_idx,join_cls,status,fail_stage,fail_type,med_ms,iqr_ms,out,buf_hit,db_hits,work,run_ok,flush_ok
duck,P2,path,uniform,base,1,0,default,ok,,,25.234,0.311,359618,,,,true,false
duck,P2,path,uniform,base,2,0,default,ok,,,16.068,0.399,671,,,,true,false
duck,P2,path,uniform,base,3,0,default,ok,,,27.409,0.882,435374,,,,true,false
duck,P2,path,uniform,base,4,0,default,ok,,,28.591,0.866,178242,,,,true,false
duck,P2,path,uniform,base,5,0,default,ok,,,26.067,0.71,35350,,,,true,false
duck,P2,path,uniform,base,6,0,default,ok,,,25.4,0.386,5946,,,,true,false
duck,P2,path,uniform,base,7,0,default,ok,,,22.044,0.014,110851,,,,true,false
duck,P2,path,uniform,base,8,0,default,ok,,,21.092,0.192,35871,,,,true,false
duck,P2,path,uniform,base,9,0,default,ok,,,21.618,0.16,99134,,,,true,false
duck,P2,path,uniform,base,10,0,default,ok,,,19.957,0.266,59311,,,,true,false
duck,P2,path,uniform,base,11,0,default,ok,,,20.666,0.083,15319,,,,true,false
duck,P2,path,uniform,base,12,0,default,ok,,,19.707,0.214,1005,,,,true,false
duck,P2,path,uniform,base,13,0,default,ok,,,20.415,0.392,13600,,,,true,false
duck,P2,path,uniform,base,14,0,default,ok,,,18.682,0.142,243,,,,true,false
duck,P2,path,uniform,base,15,0,default,ok,,,16.379,0.646,3025,,,,true,false
duck,P2,path,uniform,base,16,0,default,ok,,,19.303,0.753,7949,,,,true,false
duck,P2,path,uniform,base,17,0,default,ok,,,17.453,0.146,1594,,,,true,false
duck,P2,path,uniform,base,18,0,default,ok,,,15.362,0.707,476,,,,true,false
duck,P2,path,uniform,base,19,0,default,ok,,,17.14,0.101,524,,,,true,false
duck,P2,path,uniform,base,20,0,default,ok,,,17,0.168,1488,,,,true,false
duck,P2,path,hub,base,1,0,default,ok,,,26.155,0.493,701366,,,,true,false
duck,P2,path,hub,base,2,0,default,ok,,,28.747,0.158,989705,,,,true,false
duck,P2,path,hub,base,3,0,default,ok,,,30.226,1.147,970197,,,,true,false
duck,P2,path,hub,base,4,0,default,ok,,,27.759,0.316,766218,,,,true,false
duck,P2,path,hub,base,5,0,default,ok,,,28.751,0.714,920415,,,,true,false
duck,P2,path,hub,base,6,0,default,ok,,,27.873,1.117,911105,,,,true,false
duck,P2,path,hub,base,7,0,default,ok,,,24.925,1.198,504757,,,,true,false
duck,P2,path,hub,base,8,0,default,ok,,,27.054,0.478,658139,,,,true,false
duck,P2,path,hub,base,9,0,default,ok,,,25.946,0.254,798773,,,,true,false
duck,P2,path,hub,base,10,0,default,ok,,,26.34,0.585,615824,,,,true,false
duck,P2,path,hub,base,11,0,default,ok,,,25.673,0.679,511701,,,,true,false
duck,P2,path,hub,base,12,0,default,ok,,,29.146,0.169,763654,,,,true,false
duck,P2,path,hub,base,13,0,default,ok,,,27.805,0.157,523091,,,,true,false
duck,P2,path,hub,base,14,0,default,ok,,,26.658,0.254,542839,,,,true,false
duck,P2,path,hub,base,15,0,default,ok,,,27.988,0.76,557144,,,,true,false
duck,P2,path,hub,base,16,0,default,ok,,,26.942,0.704,515663,,,,true,false
duck,P2,path,hub,base,17,0,default,ok,,,26.463,0.187,511091,,,,true,false
duck,P2,path,hub,base,18,0,default,ok,,,26.687,0.508,500906,,,,true,false
