eng,tid,fam,reg,grp,bid,ord_idx,join_cls,status,fail_stage,fail_type,med_ms,iqr_ms,out,buf_hit,db_hits,work,run_ok,flush_ok
neo,P2,path,uniform,base,1,0,default,inst_fail,inst,RuntimeCheck,255.392,12.424,359618,,,,false,false
neo,P2,path,uniform,base,2,0,default,inst_fail,inst,RuntimeCheck,11.98,6.266,671,,,,false,false
neo,P2,path,uniform,base,3,0,default,inst_fail,inst,RuntimeCheck,283.951,21.125,435374,,,,false,false
neo,P2,path,uniform,base,4,0,default,inst_fail,inst,RuntimeCheck,132.083,7.367,178242,,,,false,false
neo,P2,path,uniform,base,5,0,default,inst_fail,inst,RuntimeCheck,31.393,13.142,35350,,,,false,false
neo,P2,path,uniform,base,6,0,default,inst_fail,inst,RuntimeCheck,12.877,9.044,5946,,,,false,false
neo,P2,path,uniform,base,7,0,default,inst_fail,inst,RuntimeCheck,84.461,7.365,110851,,,,false,false
neo,P2,path,uniform,base,8,0,default,inst_fail,inst,RuntimeCheck,33.719,11.366,35871,,,,false,false
neo,P2,path,uniform,base,9,0,default,inst_fail,inst,RuntimeCheck,82.793,6.704,99134,,,,false,false
neo,P2,path,uniform,base,10,0,default,inst_fail,inst,RuntimeCheck,52.36,7.522,59311,,,,false,false
neo,P2,path,uniform,base,11,0,default,inst_fail,inst,RuntimeCheck,19.941,6.914,15319,,,,false,false
neo,P2,path,uniform,base,12,0,default,inst_fail,inst,RuntimeCheck,14.47,14.135,1005,,,,false,false
neo,P2,path,uniform,base,13,0,default,inst_fail,inst,RuntimeCheck,19.504,10.244,13600,,,,false,false
neo,P2,path,uniform,base,14,0,default,inst_fail,inst,RuntimeCheck,9.626,6.264,243,,,,false,false
neo,P2,path,uniform,base,15,0,default,inst_fail,inst,RuntimeCheck,15.333,14.011,3025,,,,false,false
neo,P2,path,uniform,base,16,0,default,inst_fail,inst,RuntimeCheck,15.368,11.591,7949,,,,false,false
neo,P2,path,uniform,base,17,0,default,inst_fail,inst,RuntimeCheck,17.816,11.302,1594,,,,false,false
neo,P2,path,uniform,base,18,0,default,inst_fail,inst,RuntimeCheck,14.069,3.775,476,,,,false,false
neo,P2,path,uniform,base,19,0,default,inst_fail,inst,RuntimeCheck,11.174,5.153,524,,,,false,false
