eng,tid,fam,reg,grp,bid,ord_idx,join_cls,status,fail_stage,fail_type,med_ms,iqr_ms,out,buf_hit,db_hits,work,run_ok,flush_ok
pg,P2,path,uniform,base,1,0,default,ok,,,118.537,36.941,359618,29880,,720231,,false
pg,P2,path,uniform,base,2,0,default,ok,,,1.348,0.421,671,63,,1344,,false
pg,P2,path,uniform,base,3,0,default,ok,,,204.457,16.018,435374,38802,,871775,,false
pg,P2,path,uniform,base,4,0,default,ok,,,63.913,1.403,178242,17268,,357064,,false
pg,P2,path,uniform,base,5,0,default,ok,,,13.683,0.221,35350,4347,,70841,,false
pg,P2,path,uniform,base,6,0,default,ok,,,2.742,0.226,5946,588,,11905,,false
pg,P2,path,uniform,base,7,0,default,ok,,,40.012,0.812,110851,13407,,222222,,false
pg,P2,path,uniform,base,8,0,default,ok,,,13.631,0.194,35871,4836,,71851,,false
pg,P2,path,uniform,base,9,0,default,ok,,,45.247,0.823,99134,12609,,198817,,false
pg,P2,path,uniform,base,10,0,default,ok,,,28.879,0.429,59311,9240,,118928,,false
pg,P2,path,uniform,base,11,0,default,ok,,,6.403,0.161,15319,2802,,30748,,false
pg,P2,path,uniform,base,12,0,default,ok,,,1.189,0.145,1005,171,,2021,,false
pg,P2,path,uniform,base,13,0,default,ok,,,6.007,0.144,13600,2994,,27307,,false
pg,P2,path,uniform,base,14,0,default,ok,,,0.861,0.11,243,60,,490,,false
pg,P2,path,uniform,base,15,0,default,ok,,,2.095,0.14,3025,960,,6100,,false
pg,P2,path,uniform,base,16,0,default,ok,,,4.089,0.156,7949,2232,,16068,,false
pg,P2,path,uniform,base,17,0,default,ok,,,1.422,0.075,1594,363,,3215,,false
pg,P2,path,uniform,base,18,0,default,ok,,,1.039,0.1,476,285,,973,,false
pg,P2,path,uniform,base,19,0,default,ok,,,1.361,0.111,524,759,,1101,,false
pg,P2,path,uniform,base,20,0,default,ok,,,1.662,0.231,1488,909,,3029,,false
pg,P2,path,hub,base,1,0,default,ok,,,217.036,72.845,701366,55053,,1403595,,false
pg,P2,path,hub,base,2,0,default,ok,,,171.127,104.099,989705,77301,,1981389,,false
pg,P2,path,hub,base,3,0,default,ok,,,257.106,133.814,970197,76575,,1942477,,false
pg,P2,path,hub,base,4,0,default,ok,,,127.296,10.901,766218,59574,,1534231,,false
pg,P2,path,hub,base,5,0,default,ok,,,403.893,37.009,920415,76068,,1843429,,false
pg,P2,path,hub,base,6,0,default,ok,,,289.524,48.759,911105,72474,,1824092,,false
pg,P2,path,hub,base,7,0,default,ok,,,164.618,4.392,504757,41019,,1010263,,false
pg,P2,path,hub,base,8,0,default,ok,,,288.888,26.688,658139,52575,,1317803,,false
pg,P2,path,hub,base,9,0,default,ok,,,285.501,88.233,798773,66891,,1598574,,false
pg,P2,path,hub,base,10,0,default,ok,,,196.317,2.893,615824,50757,,1232559,,false
pg,P2,path,hub,base,11,0,default,ok,,,185.63,53.933,511701,40902,,1024390,,false
pg,P2,path,hub,base,12,0,default,ok,,,133.983,0.467,763654,66288,,1529080,,false
pg,P2,path,hub,base,13,0,default,ok,,,130.962,73.632,523091,44886,,1047055,,false
pg,P2,path,hub,base,14,0,default,ok,,,171.326,0.681,542839,44721,,1086472,,false
pg,P2,path,hub,base,15,0,default,ok,,,109.243,78.315,557144,47772,,1115157,,false
pg,P2,path,hub,base,16,0,default,ok,,,163.134,1.606,515663,45156,,1032327,,false
pg,P2,path,hub,base,17,0,default,ok,,,110.765,73.422,511091,44208,,1022792,,false
pg,P2,path,hub,base,18,0,default,ok,,,160.543,1.035,500906,45288,,1003093,,false
pg,P2,path,hub,base,19,0,default,ok,,,87.856,47.587,340339,32460,,681314,,false
pg,P2,path,hub,base,20,0,default,ok,,,114.345,39.599,338846,34281,,678295,,false
pg,P3,path,uniform,base,1,0,default,fail,measured,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,base,2,0,default,ok,,,23268.008,3517.295,69592292,5871100,,139501596,,false
pg,P3,path,uniform,base,3,0,default,ok,,,20.468,1.253,40894,5193,,82273,,false
pg,P3,path,uniform,base,4,0,default,ok,,,8649.763,3148.229,29071800,3250221,,58467943,,false
pg,P3,path,uniform,base,5,0,default,ok,,,1032.323,74.177,3999070,509707,,8061328,,false
pg,P3,path,uniform,base,6,0,default,ok,,,33.928,0.329,63906,16365,,129923,,false
pg,P3,path,uniform,base,7,0,default,ok,,,5753.171,1147.706,19227628,2513601,,38670255,,false
pg,P3,path,uniform,base,8,0,default,ok,,,39.399,0.399,86540,12810,,174703,,false
pg,P3,path,uniform,base,9,0,default,ok,,,39.802,0.35,86540,12810,,174703,,false
pg,P3,path,uniform,base,10,0,default,ok,,,1797.565,688.376,6130831,1049837,,12408291,,false
pg,P3,path,uniform,base,11,0,default,ok,,,28.877,0.435,50170,15091,,103001,,false
pg,P3,path,uniform,base,12,0,default,ok,,,2469.782,873.466,9684766,1616506,,19574024,,false
pg,P3,path,uniform,base,13,0,default,ok,,,304.575,5.991,1184800,274905,,2411979,,false
pg,P3,path,uniform,base,14,0,default,ok,,,709.314,239.278,1421962,339858,,2891506,,false
