eng,tid,fam,reg,grp,bid,ord_idx,join_cls,status,fail_stage,fail_type,med_ms,iqr_ms,out,buf_hit,db_hits,work,run_ok,flush_ok
pg,P3,path,uniform,join,1,0,default,ok,,,1871.529,222.304,4360027,576098,,8777978,,false
pg,P3,path,uniform,join,1,1,connected,ok,,,1566.169,592.656,4360027,576098,,8777978,,false
pg,P3,path,uniform,join,1,2,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,1,3,connected,ok,,,1474.688,557.106,4360027,576098,,8777978,,false
pg,P3,path,uniform,join,1,4,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,1,5,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,1,6,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,2,0,default,ok,,,3623.891,1018.824,12315613,1712121,,24803300,,false
pg,P3,path,uniform,join,2,1,connected,ok,,,3355.898,784.732,12315613,1712121,,24803300,,false
pg,P3,path,uniform,join,2,2,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,2,3,connected,ok,,,2775.85,139.421,12315613,1712121,,24803300,,false
pg,P3,path,uniform,join,2,4,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,2,5,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,2,6,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,3,0,default,ok,,,2618.543,126.228,8012636,1272510,,16198502,,false
pg,P3,path,uniform,join,3,1,connected,ok,,,2677.814,818.226,8012636,1272510,,16198502,,false
pg,P3,path,uniform,join,3,2,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,3,3,connected,ok,,,2801.946,202.779,8012636,1272510,,16198502,,false
pg,P3,path,uniform,join,3,4,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,3,5,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,3,6,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,4,0,default,ok,,,141.817,4.011,546335,121749,,1111216,,false
pg,P3,path,uniform,join,4,1,connected,ok,,,150.994,46.143,546335,121749,,1111216,,false
pg,P3,path,uniform,join,4,2,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,4,3,connected,ok,,,264.253,4.685,546335,121749,,1111216,,false
pg,P3,path,uniform,join,4,4,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,4,5,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,4,6,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,5,0,default,ok,,,379.091,13.297,726295,196532,,1482408,,false
pg,P3,path,uniform,join,5,1,connected,ok,,,373.682,1.158,726295,196532,,1482408,,false
pg,P3,path,uniform,join,5,2,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,5,3,connected,ok,,,429.507,22.606,726295,196532,,1482408,,false
pg,P3,path,uniform,join,5,4,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,5,5,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,uniform,join,5,6,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,1,0,default,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,1,1,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,1,2,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,1,3,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,1,4,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,1,5,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,1,6,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,2,0,default,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,2,1,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,2,2,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,2,3,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,2,4,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,2,5,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,2,6,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,3,0,default,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,3,1,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,3,2,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,3,3,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,3,4,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,3,5,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,3,6,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,4,0,default,ok,,,33395.587,1871.104,112845993,11003150,,226730494,,false
pg,P3,path,hub,join,4,1,connected,ok,,,35981.745,2737.7,112845993,11003150,,226730494,,false
pg,P3,path,hub,join,4,2,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,4,3,connected,ok,,,34572.658,3179.832,112845993,11003150,,226730494,,false
pg,P3,path,hub,join,4,4,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,4,5,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,4,6,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,5,0,default,ok,,,31626.98,3525.532,92836345,9274915,,186496904,,false
pg,P3,path,hub,join,5,1,connected,ok,,,40977.547,3725.31,92836345,9274915,,186496904,,false
pg,P3,path,hub,join,5,2,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,5,3,connected,ok,,,33696.651,1384.071,92836345,9274915,,186496904,,false
pg,P3,path,hub,join,5,4,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,5,5,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,5,6,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,T1,tri,uniform,join,1,0,default,ok,,,3.019,0.394,1826,1280,,6290,,false
