eng,reg,bid,anchor_id,anchor_out_degree,depth,status,fail_type,ms,out
pg,uniform,1,Compound::MESH:C009591,1,2,ok,,3.317,1
pg,uniform,1,Compound::MESH:C009591,1,3,ok,,1.042,1
pg,uniform,2,Compound::MESH:C049777,3,2,ok,,0.769,3
pg,uniform,2,Compound::MESH:C049777,3,3,ok,,0.495,3
pg,uniform,3,Compound::MESH:C050383,2,2,ok,,0.433,2
pg,uniform,3,Compound::MESH:C050383,2,3,ok,,0.831,2
pg,uniform,4,Gene::3020,243,2,ok,,70.315,12724
pg,uniform,4,Gene::3020,243,3,ok,,729.237,49055
pg,uniform,5,Gene::46006,2,2,ok,,2.083,4
pg,uniform,5,Gene::46006,2,3,ok,,0.38,4
pg,hub,1,Anatomy::UBERON:0000473,23866,2,ok,,732.32,45992
pg,hub,1,Anatomy::UBERON:0000473,23866,3,ok,,1914.449,64842
pg,hub,2,Anatomy::UBERON:0000955,23606,2,ok,,773.556,46758
pg,hub,2,Anatomy::UBERON:0000955,23606,3,ok,,1931.62,65099
pg,hub,3,Anatomy::UBERON:0002369,23115,2,ok,,687.351,46084
pg,hub,3,Anatomy::UBERON:0002369,23115,3,ok,,1860.033,64892
pg,hub,4,Anatomy::UBERON:0000178,20779,2,ok,,667.441,45640
pg,hub,4,Anatomy::UBERON:0000178,20779,3,ok,,1822.416,64622
pg,hub,5,Anatomy::UBERON:0000948,19693,2,ok,,726.589,45866
pg,hub,5,Anatomy::UBERON:0000948,19693,3,ok,,1848.035,64843
duck,uniform,1,Compound::MESH:C009591,1,2,ok,,9.674,1
duck,uniform,1,Compound::MESH:C009591,1,3,ok,,2.891,1
duck,uniform,2,Compound::MESH:C049777,3,2,ok,,4.345,3
duck,uniform,2,Compound::MESH:C049777,3,3,ok,,2.718,3
duck,uniform,3,Compound::MESH:C050383,2,2,ok,,2.997,2
duck,uniform,3,Compound::MESH:C050383,2,3,ok,,2.234,2
duck,uniform,4,Gene::3020,243,2,ok,,46.171,12724
duck,uniform,4,Gene::3020,243,3,ok,,154.291,49055
duck,uniform,5,Gene::46006,2,2,ok,,4.078,4
duck,uniform,5,Gene::46006,2,3,ok,,4.913,4
duck,hub,1,Anatomy::UBERON:0000473,23866,2,ok,,179.446,45992
duck,hub,1,Anatomy::UBERON:0000473,23866,3,ok,,718.012,64842
duck,hub,2,Anatomy::UBERON:0000955,23606,2,ok,,338.64,46758
duck,hub,2,Anatomy::UBERON:0000955,23606,3,ok,,890.359,65099
duck,hub,3,Anatomy::UBERON:0002369,23115,2,ok,,306.958,46084
duck,hub,3,Anatomy::UBERON:0002369,23115,3,ok,,819.552,64892
duck,hub,4,Anatomy::UBERON:0000178,20779,2,ok,,264.848,45640
duck,hub,4,Anatomy::UBERON:0000178,20779,3,ok,,794.606,64622
duck,hub,5,Anatomy::UBERON:0000948,19693,2,ok,,280.192,45866
duck,hub,5,Anatomy::UBERON:0000948,19693,3,ok,,814.463,64843
neo,uniform,1,Compound::MESH:C009591,1,2,ok,,26.917,1
neo,uniform,1,Compound::MESH:C009591,1,3,ok,,4.971,1
neo,uniform,2,Compound::MESH:C049777,3,2,ok,,17.152,3
neo,uniform,2,Compound::MESH:C049777,3,3,ok,,20.876,3
neo,uniform,3,Compound::MESH:C050383,2,2,ok,,9.69,2
neo,uniform,3,Compound::MESH:C050383,2,3,ok,,11.459,2
neo,uniform,4,Gene::3020,243,2,ok,,41.991,12724
neo,uniform,4,Gene::3020,243,3,ok,,430.982,49055
neo,uniform,5,Gene::46006,2,2,ok,,10.374,4
neo,uniform,5,Gene::46006,2,3,ok,,8.999,4
neo,hub,1,Anatomy::UBERON:0000473,23866,2,ok,,436.805,45992
neo,hub,1,Anatomy::UBERON:0000473,23866,3,ok,,717.708,64842
neo,hub,2,Anatomy::UBERON:0000955,23606,2,ok,,398.16,46758
neo,hub,2,Anatomy::UBERON:0000955,23606,3,ok,,620.505,65099
neo,hub,3,Anatomy::UBERON:0002369,23115,2,ok,,337.748,46084
neo,hub,3,Anatomy::UBERON:0002369,23115,3,ok,,595.506,64892
neo,hub,4,Anatomy::UBERON:0000178,20779,2,ok,,323.406,45640
neo,hub,4,Anatomy::UBERON:0000178,20779,3,ok,,571.566,64622
neo,hub,5,Anatomy::UBERON:0000948,19693,2,ok,,212.718,45866
neo,hub,5,Anatomy::UBERON:0000948,19693,3,ok,,373.96,64843
