eng,tid,fam,reg,bid,shape,med_ms,iqr_ms,out,work,agm,rt_agm,work_agm,agm_out,status
pg,P2,path,uniform,1,acyclic,118.537,36.941,359618,720231,1042728876,0,0.001,2899.546,ok
pg,P2,path,uniform,2,acyclic,1.348,0.421,671,1344,1379271,0,0.001,2055.545,ok
pg,P2,path,uniform,3,acyclic,204.457,16.018,435374,871775,1504784661,0,0.001,3456.303,ok
pg,P2,path,uniform,4,acyclic,63.913,1.403,178242,357064,740668527,0,0,4155.41,ok
pg,P2,path,uniform,5,acyclic,13.683,0.221,35350,70841,233096799,0,0,6593.969,ok
pg,P2,path,uniform,6,acyclic,2.742,0.226,5946,11905,24826878,0,0,4175.392,ok
pg,P2,path,uniform,7,acyclic,40.012,0.812,110851,222222,714462378,0,0,6445.25,ok
pg,P2,path,uniform,8,acyclic,13.631,0.194,35871,71851,277233471,0,0,7728.624,ok
pg,P2,path,uniform,9,acyclic,45.247,0.823,99134,198817,697911126,0,0,7040.078,ok
pg,P2,path,uniform,10,acyclic,28.879,0.429,59311,118928,571018194,0,0,9627.526,ok
pg,P2,path,uniform,11,acyclic,6.403,0.161,15319,30748,183443043,0,0,11974.871,ok
pg,P2,path,uniform,12,acyclic,1.189,0.145,1005,2021,9654897,0,0,9606.863,ok
pg,P2,path,uniform,13,acyclic,6.007,0.144,13600,27307,212407734,0,0,15618.216,ok
pg,P2,path,uniform,14,acyclic,0.861,0.11,243,490,2758542,0,0,11352.025,ok
pg,P2,path,uniform,15,acyclic,2.095,0.14,3025,6100,73101363,0,0,24165.74,ok
pg,P2,path,uniform,16,acyclic,4.089,0.156,7949,16068,169650333,0,0,21342.349,ok
pg,P2,path,uniform,17,acyclic,1.422,0.075,1594,3215,24826878,0,0,15575.206,ok
pg,P2,path,uniform,18,acyclic,1.039,0.1,476,973,22068336,0,0,46362.05,ok
pg,P2,path,uniform,19,acyclic,1.361,0.111,524,1101,66205008,0,0,126345.435,ok
pg,P2,path,uniform,20,acyclic,1.662,0.231,1488,3029,75859905,0,0,50981.119,ok
pg,P2,path,hub,1,acyclic,217.036,72.845,701366,1403595,1742019273,0,0.001,2483.752,ok
pg,P2,path,hub,2,acyclic,171.127,104.099,989705,1981389,2412344979,0,0.001,2437.438,ok
pg,P2,path,hub,3,acyclic,257.106,133.814,970197,1942477,2442688941,0,0.001,2517.725,ok
pg,P2,path,hub,4,acyclic,127.296,10.901,766218,1534231,1845464598,0,0.001,2408.537,ok
pg,P2,path,hub,5,acyclic,403.893,37.009,920415,1843429,2635786881,0,0.001,2863.694,ok
pg,P2,path,hub,6,acyclic,289.524,48.759,911105,1824092,2340622887,0,0.001,2568.994,ok
pg,P2,path,hub,7,acyclic,164.618,4.392,504757,1010263,1380650271,0,0.001,2735.277,ok
pg,P2,path,hub,8,acyclic,288.888,26.688,658139,1317803,1719950937,0,0.001,2613.355,ok
pg,P2,path,hub,9,acyclic,285.501,88.233,798773,1598574,2372346120,0,0.001,2969.988,ok
pg,P2,path,hub,10,acyclic,196.317,2.893,615824,1232559,1750294899,0,0.001,2842.2,ok
pg,P2,path,hub,11,acyclic,185.63,53.933,511701,1024390,1339272141,0,0.001,2617.294,ok
pg,P2,path,hub,12,acyclic,133.983,0.467,763654,1529080,2484067071,0,0.001,3252.87,ok
pg,P2,path,hub,13,acyclic,130.962,73.632,523091,1047055,1653745929,0,0.001,3161.488,ok
pg,P2,path,hub,14,acyclic,171.326,0.681,542839,1086472,1536507894,0,0.001,2830.504,ok
pg,P2,path,hub,15,acyclic,109.243,78.315,557144,1115157,1757191254,0,0.001,3153.927,ok
pg,P2,path,hub,16,acyclic,163.134,1.606,515663,1032327,1708916769,0,0.001,3314.019,ok
pg,P2,path,hub,17,acyclic,110.765,73.422,511091,1022792,1641332490,0,0.001,3211.429,ok
pg,P2,path,hub,18,acyclic,160.543,1.035,500906,1003093,1794431571,0,0.001,3582.372,ok
pg,P2,path,hub,19,acyclic,87.856,47.587,340339,681314,1375133187,0,0,4040.481,ok
pg,P2,path,hub,20,acyclic,114.345,39.599,338846,678295,1550300604,0,0,4575.237,ok
pg,P3,path,uniform,1,acyclic,,,,,991695849,,,,fail
pg,P3,path,uniform,2,acyclic,23268.008,3517.295,69592292,139501596,419298384,0,0.333,6.025,ok
pg,P3,path,uniform,3,acyclic,20.468,1.253,40894,82273,1379271,0,0.06,33.728,ok
pg,P3,path,uniform,4,acyclic,8649.763,3148.229,29071800,58467943,595845072,0,0.098,20.496,ok
pg,P3,path,uniform,5,acyclic,1032.323,74.177,3999070,8061328,147581997,0,0.055,36.904,ok
pg,P3,path,uniform,6,acyclic,33.928,0.329,63906,129923,16551252,0,0.008,258.994,ok
pg,P3,path,uniform,7,acyclic,5753.171,1147.706,19227628,38670255,713083107,0,0.054,37.086,ok
pg,P3,path,uniform,8,acyclic,39.399,0.399,86540,174703,2758542,0,0.063,31.876,ok
pg,P3,path,uniform,9,acyclic,39.802,0.35,86540,174703,2758542,0,0.063,31.876,ok
pg,P3,path,uniform,10,acyclic,1797.565,688.376,6130831,12408291,597224343,0,0.021,97.413,ok
pg,P3,path,uniform,11,acyclic,28.877,0.435,50170,103001,8275626,0,0.012,164.952,ok
pg,P3,path,uniform,12,acyclic,2469.782,873.466,9684766,19574024,830321142,0,0.024,85.735,ok
pg,P3,path,uniform,13,acyclic,304.575,5.991,1184800,2411979,252406593,0,0.01,213.037,ok
pg,P3,path,uniform,14,acyclic,709.314,239.278,1421962,2891506,336542124,0,0.009,236.674,ok
pg,P3,path,uniform,15,acyclic,7.725,0.277,13259,26781,2758542,0,0.01,208.051,ok
pg,P3,path,uniform,16,acyclic,345.587,101.645,671337,1360398,219304089,0,0.006,326.668,ok
pg,P3,path,uniform,17,acyclic,106.576,22.427,304651,625882,164133249,0,0.004,538.758,ok
pg,P3,path,uniform,18,acyclic,45.182,0.243,79566,162782,38619588,0,0.004,485.378,ok
pg,P3,path,uniform,19,acyclic,12.158,0.157,11776,24716,41378130,0,0.001,3513.768,ok
pg,P3,path,uniform,20,acyclic,1.722,0.182,54,155,9654897,0,0,178794.389,ok
pg,P3,path,hub,1,acyclic,,,,,1468923615,,,,fail
pg,P3,path,hub,2,acyclic,,,,,1955806278,,,,fail
pg,P3,path,hub,3,acyclic,,,,,2257866627,,,,fail
pg,P3,path,hub,4,acyclic,,,,,1594437276,,,,fail
pg,P3,path,hub,5,acyclic,,,,,2635786881,,,,fail
pg,P3,path,hub,6,acyclic,,,,,1678572807,,,,fail
pg,P3,path,hub,7,acyclic,,,,,1662021555,,,,fail
pg,P3,path,hub,8,acyclic,,,,,1816499907,,,,fail
pg,P3,path,hub,9,acyclic,,,,,1427545485,,,,fail
pg,P3,path,hub,10,acyclic,,,,,1719950937,,,,fail
pg,P3,path,hub,11,acyclic,,,,,2809575027,,,,fail
pg,P3,path,hub,12,acyclic,,,,,1404097878,,,,fail
pg,P3,path,hub,13,acyclic,,,,,1481337054,,,,fail
pg,P3,path,hub,14,acyclic,,,,,1708916769,,,,fail
pg,P3,path,hub,15,acyclic,,,,,1805465739,,,,fail
pg,P3,path,hub,16,acyclic,48022.457,1465.627,102811762,206325908,1380650271,0,0.149,13.429,ok
pg,P3,path,hub,17,acyclic,49659.81,1121.482,109011947,219062764,1594437276,0,0.137,14.626,ok
pg,P3,path,hub,18,acyclic,40905.42,693.292,89618707,179825858,1532370081,0,0.117,17.099,ok
pg,P3,path,hub,19,acyclic,34582.515,303.888,78681959,157965274,1419269859,0,0.111,18.038,ok
pg,P3,path,hub,20,acyclic,27457.501,358.162,62212387,125232182,1562714043,0,0.08,25.119,ok
pg,T1,tri,uniform,1,cyclic,9.908,1.717,10418,38106,4237710.458,0,0.009,406.768,ok
pg,T1,tri,uniform,2,cyclic,1.476,0.29,2,153,566287.88,0,0,283143.94,ok
pg,T1,tri,uniform,3,cyclic,1.782,1.37,272,1235,1650998.693,0,0.001,6069.848,ok
pg,T1,tri,uniform,4,cyclic,1.635,0.144,132,626,1387116.353,0,0,10508.457,ok
pg,T1,tri,uniform,5,cyclic,3.693,0.311,2896,9202,3127427.037,0,0.003,1079.913,ok
pg,T1,tri,uniform,6,cyclic,11.913,0.182,11342,48569,4161349.06,0,0.012,366.897,ok
pg,T1,tri,uniform,7,cyclic,6.939,0.176,2550,26476,2859613.62,0,0.009,1121.417,ok
pg,T1,tri,uniform,8,cyclic,13.51,2.97,11342,48503,4142038.751,0,0.012,365.195,ok
pg,T1,tri,uniform,9,cyclic,4.713,0.166,2862,14594,2942518.139,0,0.005,1028.134,ok
pg,T1,tri,uniform,10,cyclic,1.494,0.187,30,123,980839.38,0,0,32694.646,ok
pg,T1,tri,uniform,11,cyclic,3.072,0.164,2914,13549,3101686.459,0,0.004,1064.409,ok
pg,T1,tri,uniform,12,cyclic,5.478,0.241,4078,17308,3648054.476,0,0.005,894.57,ok
pg,T1,tri,uniform,13,cyclic,2.837,0.705,1806,6069,2625768.879,0,0.002,1453.914,ok
pg,T1,tri,uniform,14,cyclic,1.483,0.134,12,49,800852,0,0,66737.667,ok
pg,T1,tri,uniform,15,cyclic,3.866,0.224,1092,10634,2402556,0,0.004,2200.143,ok
pg,T1,tri,uniform,16,cyclic,1.464,0.049,6,29,693558.177,0,0,115593.03,ok
pg,T1,tri,uniform,17,cyclic,2.183,0.481,1056,3593,2300272.242,0,0.002,2178.288,ok
pg,T1,tri,uniform,18,cyclic,3.695,0.422,1374,9724,3101686.459,0,0.003,2257.414,ok
pg,T1,tri,uniform,19,cyclic,2.788,0.12,1406,6165,2468391.642,0,0.002,1755.613,ok
pg,T1,tri,uniform,20,cyclic,9.427,0.17,8292,37053,4199703.318,0,0.009,506.477,ok
pg,T1,tri,hub,1,cyclic,44.777,5.174,62258,202536,6343940.916,0,0.032,101.898,ok
pg,T1,tri,hub,2,cyclic,31.925,0.447,44310,148663,5816523.626,0,0.026,131.269,ok
pg,T1,tri,hub,3,cyclic,38.161,6.983,44310,148663,5816523.626,0,0.026,131.269,ok
pg,T1,tri,hub,4,cyclic,31.491,1.56,44310,148663,5816523.626,0,0.026,131.269,ok
pg,T1,tri,hub,5,cyclic,15.847,0.33,11794,62905,5830290.565,0,0.011,494.344,ok
pg,T1,tri,hub,6,cyclic,16.669,1.233,17752,65319,5844025.073,0,0.011,329.204,ok
pg,T1,tri,hub,7,cyclic,31.909,0.475,44310,148663,5816523.626,0,0.026,131.269,ok
pg,T1,tri,hub,8,cyclic,49.569,3.94,75330,232491,8216054.601,0,0.028,109.067,ok
pg,T1,tri,hub,9,cyclic,48.082,4.047,62250,202494,6331290.972,0,0.032,101.707,ok
pg,T1,tri,hub,10,cyclic,31.191,3.235,44310,148663,5816523.626,0,0.026,131.269,ok
pg,T1,tri,hub,11,cyclic,31.916,1.573,44310,148663,5816523.626,0,0.026,131.269,ok
pg,T1,tri,hub,12,cyclic,31.551,0.435,44310,148663,5816523.626,0,0.026,131.269,ok
pg,T1,tri,hub,13,cyclic,37.399,0.712,47246,167135,7816003.707,0,0.021,165.432,ok
pg,T1,tri,hub,14,cyclic,35.232,0.601,47212,161508,6506152.404,0,0.025,137.807,ok
pg,T1,tri,hub,15,cyclic,41.704,0.358,63606,200734,7140618.468,0,0.028,112.263,ok
pg,T1,tri,hub,16,cyclic,40.654,1.205,62250,202494,6331290.972,0,0.032,101.707,ok
pg,T1,tri,hub,17,cyclic,46.614,0.533,69478,218742,6700408.556,0,0.033,96.439,ok
pg,T1,tri,hub,18,cyclic,21.048,0.342,24192,92250,5925763.659,0,0.016,244.947,ok
pg,T1,tri,hub,19,cyclic,42.647,1.193,62250,202494,6331290.972,0,0.032,101.707,ok
pg,T1,tri,hub,20,cyclic,53.956,0.631,76743,256175,8117890.329,0,0.032,105.78,ok
pg,T2,tri,uniform,1,cyclic,1.642,0.198,42,1212,981283.249,0,0.001,23363.887,ok
pg,T2,tri,uniform,2,cyclic,8.936,0.297,10920,37318,3800493.683,0,0.01,348.031,ok
pg,T2,tri,uniform,3,cyclic,3.193,0.165,117,5796,3459433.54,0,0.002,29567.808,ok
pg,T2,tri,uniform,4,cyclic,13.825,1.932,15116,53945,4892377.831,0,0.011,323.656,ok
pg,T2,tri,uniform,5,cyclic,15.853,0.314,20912,72420,4920414.61,0,0.015,235.291,ok
pg,T2,tri,uniform,6,cyclic,41.313,0.644,62831,208786,6060395.905,0,0.034,96.456,ok
pg,T2,tri,uniform,7,cyclic,4.116,0.212,1467,12619,2848861.73,0,0.004,1941.964,ok
pg,T2,tri,uniform,8,cyclic,3.536,0.198,356,10385,1854451.031,0,0.006,5209.132,ok
pg,T2,tri,uniform,9,cyclic,1.678,0.134,6,202,2256037.049,0,0,376006.175,ok
pg,T2,tri,uniform,10,cyclic,3.781,0.195,717,10677,2848861.73,0,0.004,3973.308,ok
pg,T2,tri,uniform,11,cyclic,10.711,0.701,10347,44763,4212502.975,0,0.011,407.123,ok
pg,T2,tri,uniform,12,cyclic,1.012,0.15,2,177,741780.412,0,0,370890.206,ok
pg,T2,tri,uniform,13,cyclic,6.108,0.666,7630,23185,3498971.207,0,0.007,458.581,ok
pg,T2,tri,uniform,14,cyclic,3.02,0.175,50,8792,1112670.619,0,0.008,22253.412,ok
pg,T2,tri,uniform,15,cyclic,27.062,0.97,32798,129534,5957378.838,0,0.022,181.638,ok
pg,T2,tri,uniform,16,cyclic,4.068,0.155,726,9555,3872207.434,0,0.002,5333.619,ok
pg,T2,tri,uniform,17,cyclic,40.664,0.475,63661,199787,6624310.898,0,0.03,104.056,ok
pg,T2,tri,uniform,18,cyclic,1.444,0.728,6,585,642400.681,0,0.001,107066.78,ok
pg,T2,tri,uniform,19,cyclic,29.197,0.475,44310,147453,5387491.439,0,0.027,121.586,ok
pg,T2,tri,uniform,20,cyclic,5.277,0.414,3552,14859,4341158.563,0,0.003,1222.173,ok
pg,T2,tri,hub,1,cyclic,40.486,0.597,62750,207593,6026252.558,0,0.034,96.036,ok
pg,T2,tri,hub,2,cyclic,30.233,1.087,44310,147458,5387491.439,0,0.027,121.586,ok
pg,T2,tri,hub,3,cyclic,600.348,46.331,16592,83054,6083051.67,0,0.014,366.626,ok
pg,T2,tri,hub,4,cyclic,40.62,1.01,66064,213123,6206180.195,0,0.034,93.942,ok
pg,T2,tri,hub,5,cyclic,42.482,1.761,66064,213123,6206180.195,0,0.034,93.942,ok
pg,T2,tri,hub,6,cyclic,24.3,0.926,31522,111958,5600319.301,0,0.02,177.664,ok
pg,T2,tri,hub,7,cyclic,29.587,1.579,44310,147458,5387491.439,0,0.027,121.586,ok
pg,T2,tri,hub,8,cyclic,29.165,5.184,44734,149710,5661393.291,0,0.026,126.557,ok
pg,T2,tri,hub,9,cyclic,43.896,8.452,75288,231328,7610030.78,0,0.03,101.079,ok
pg,T2,tri,hub,10,cyclic,13.207,0.317,8890,54600,5673529.197,0,0.01,638.192,ok
pg,T2,tri,hub,11,cyclic,13.629,0.414,8890,54600,5673529.197,0,0.01,638.192,ok
pg,T2,tri,hub,12,cyclic,40.206,0.667,62177,203760,5945822.322,0,0.034,95.627,ok
pg,T2,tri,hub,13,cyclic,20.304,0.407,23476,96163,5513679.303,0,0.017,234.865,ok
pg,T2,tri,hub,14,cyclic,41.887,1.327,66098,213191,6206180.195,0,0.034,93.894,ok
pg,T2,tri,hub,15,cyclic,41.512,1.456,63612,199505,6613919.816,0,0.03,103.973,ok
pg,T2,tri,hub,16,cyclic,18.173,0.515,23526,82089,5575702.394,0,0.015,237.002,ok
pg,T2,tri,hub,17,cyclic,45.353,0.906,68778,230882,6898956.631,0,0.033,100.308,ok
pg,T2,tri,hub,18,cyclic,40.448,2.537,66064,213123,6206180.195,0,0.034,93.942,ok
pg,T2,tri,hub,19,cyclic,41.684,1.796,66050,213095,6206180.195,0,0.034,93.962,ok
pg,T2,tri,hub,20,cyclic,34.096,4.488,62049,203219,5864289.067,0,0.035,94.511,ok
pg,C4,cycle,uniform,1,cyclic,25.472,0.177,243,5920,,,,,ok
pg,C4,cycle,uniform,2,cyclic,3.434,0.412,2,158,,,,,ok
pg,C4,cycle,uniform,3,cyclic,3.16,0.382,6,97,,,,,ok
pg,C4,cycle,uniform,4,cyclic,3.066,0.322,4,61,,,,,ok
pg,C4,cycle,uniform,5,cyclic,3.209,0.322,19,168,,,,,ok
pg,C4,cycle,uniform,6,cyclic,42.571,0.436,2165,12023,,,,,ok
pg,C4,cycle,uniform,7,cyclic,39.63,0.361,2086,15518,,,,,ok
pg,C4,cycle,uniform,8,cyclic,3.644,0.318,8,211,,,,,ok
pg,C4,cycle,uniform,9,cyclic,3.301,0.369,2,116,,,,,ok
pg,C4,cycle,uniform,10,cyclic,3.597,0.4,10,219,,,,,ok
pg,C4,cycle,uniform,11,cyclic,6.862,0.589,2,1121,,,,,ok
pg,C4,cycle,uniform,12,cyclic,4.876,0.38,134,986,,,,,ok
pg,C4,cycle,uniform,13,cyclic,44.589,0.214,931,11278,,,,,ok
pg,C4,cycle,uniform,14,cyclic,8.319,0.457,33,1319,,,,,ok
pg,C4,cycle,uniform,15,cyclic,5.642,0.455,48,819,,,,,ok
pg,C4,cycle,uniform,16,cyclic,6.778,0.792,5,935,,,,,ok
pg,C4,cycle,uniform,17,cyclic,13.462,0.129,92,2570,,,,,ok
pg,C4,cycle,uniform,18,cyclic,4.314,0.5,12,372,,,,,ok
pg,C4,cycle,uniform,19,cyclic,11.46,0.495,84,2204,,,,,ok
pg,C4,cycle,uniform,20,cyclic,6.185,0.683,2,786,,,,,ok
pg,C4,cycle,hub,1,cyclic,34.574,0.438,349,8019,,,,,ok
pg,C4,cycle,hub,2,cyclic,44.4,0.309,2555,17506,,,,,ok
pg,C4,cycle,hub,3,cyclic,42.124,0.073,2371,16508,,,,,ok
pg,C4,cycle,hub,4,cyclic,47.74,0.219,2682,18766,,,,,ok
pg,C4,cycle,hub,5,cyclic,47.209,0.246,2887,18793,,,,,ok
pg,C4,cycle,hub,6,cyclic,59.18,0.315,1101,14891,,,,,ok
pg,C4,cycle,hub,7,cyclic,51.581,0.071,929,13050,,,,,ok
pg,C4,cycle,hub,8,cyclic,24.676,0.521,269,5824,,,,,ok
pg,C4,cycle,hub,9,cyclic,47.576,0.091,2604,18931,,,,,ok
pg,C4,cycle,hub,10,cyclic,34.383,0.194,1168,8949,,,,,ok
pg,C4,cycle,hub,11,cyclic,36.439,0.167,711,8944,,,,,ok
pg,C4,cycle,hub,12,cyclic,38.421,0.211,856,9621,,,,,ok
pg,C4,cycle,hub,13,cyclic,62.195,0.326,1534,16566,,,,,ok
pg,C4,cycle,hub,14,cyclic,58.734,0.225,1284,14935,,,,,ok
pg,C4,cycle,hub,15,cyclic,28.026,0.658,591,6857,,,,,ok
pg,C4,cycle,hub,16,cyclic,8.194,0.63,14,1415,,,,,ok
pg,C4,cycle,hub,17,cyclic,50.127,0.36,723,12619,,,,,ok
pg,C4,cycle,hub,18,cyclic,43.403,0.256,757,10979,,,,,ok
pg,C4,cycle,hub,19,cyclic,6.715,0.814,1,926,,,,,ok
pg,C4,cycle,hub,20,cyclic,8.973,0.6,2,1453,,,,,ok
duck,P2,path,uniform,1,acyclic,25.234,0.311,359618,,1042728876,0,,2899.546,ok
duck,P2,path,uniform,2,acyclic,16.068,0.399,671,,1379271,0,,2055.545,ok
duck,P2,path,uniform,3,acyclic,27.409,0.882,435374,,1504784661,0,,3456.303,ok
duck,P2,path,uniform,4,acyclic,28.591,0.866,178242,,740668527,0,,4155.41,ok
duck,P2,path,uniform,5,acyclic,26.067,0.71,35350,,233096799,0,,6593.969,ok
duck,P2,path,uniform,6,acyclic,25.4,0.386,5946,,24826878,0,,4175.392,ok
duck,P2,path,uniform,7,acyclic,22.044,0.014,110851,,714462378,0,,6445.25,ok
duck,P2,path,uniform,8,acyclic,21.092,0.192,35871,,277233471,0,,7728.624,ok
duck,P2,path,uniform,9,acyclic,21.618,0.16,99134,,697911126,0,,7040.078,ok
duck,P2,path,uniform,10,acyclic,19.957,0.266,59311,,571018194,0,,9627.526,ok
duck,P2,path,uniform,11,acyclic,20.666,0.083,15319,,183443043,0,,11974.871,ok
duck,P2,path,uniform,12,acyclic,19.707,0.214,1005,,9654897,0,,9606.863,ok
duck,P2,path,uniform,13,acyclic,20.415,0.392,13600,,212407734,0,,15618.216,ok
duck,P2,path,uniform,14,acyclic,18.682,0.142,243,,2758542,0,,11352.025,ok
duck,P2,path,uniform,15,acyclic,16.379,0.646,3025,,73101363,0,,24165.74,ok
duck,P2,path,uniform,16,acyclic,19.303,0.753,7949,,169650333,0,,21342.349,ok
duck,P2,path,uniform,17,acyclic,17.453,0.146,1594,,24826878,0,,15575.206,ok
duck,P2,path,uniform,18,acyclic,15.362,0.707,476,,22068336,0,,46362.05,ok
duck,P2,path,uniform,19,acyclic,17.14,0.101,524,,66205008,0,,126345.435,ok
duck,P2,path,uniform,20,acyclic,17,0.168,1488,,75859905,0,,50981.119,ok
duck,P2,path,hub,1,acyclic,26.155,0.493,701366,,1742019273,0,,2483.752,ok
duck,P2,path,hub,2,acyclic,28.747,0.158,989705,,2412344979,0,,2437.438,ok
