eng,reg,shape,n,ok_n,q1_ms,med_ms,q3_ms,q1_work,med_work,q3_work,med_out,med_agm
duck,hub,acyclic,20,20,1245.331,1826.62,2169.563,,,,211951006,1628229415.5
duck,hub,cyclic,60,60,13.502,22.504,24.688,,,,44310,5986037.44
duck,uniform,acyclic,20,20,23.609,42.602,225.598,,,,487994,155857623
duck,uniform,cyclic,60,60,10.335,15.024,16.832,,,,536.5,3022102.299
neo,hub,acyclic,20,0,39399.389,39399.389,39399.389,,,,62212387,1628229415.5
neo,hub,cyclic,60,20,21.301,92.403,112.047,,,,44310,5986037.44
neo,uniform,acyclic,20,0,54.249,213.775,3798.924,,,,304651,155857623
neo,uniform,cyclic,60,20,13.88,24.371,38.068,,,,536.5,3022102.299
pg,hub,acyclic,20,5,34582.515,40905.42,48022.457,157965274,179825858,206325908,89618707,1628229415.5
pg,hub,cyclic,60,60,30.072,39.314,44.494,16551.5,147458,202494,44310,5986037.44
pg,uniform,acyclic,20,19,31.402,106.576,1414.944,116462,625882,10234809.5,304651,155857623
pg,uniform,cyclic,60,60,3.071,4.215,10.109,615.75,6117,15965.5,536.5,3022102.299
