tid,reg,n,match_n,pg_q1,pg_ms,pg_q3,neo_q1,neo_ms,neo_q3,duck_q1,duck_ms,duck_q3,spd_q1,spd,spd_q3,pg_duck_q1,pg_duck,pg_duck_q3,neo_duck_q1,neo_duck,neo_duck_q3
C4,hub,20,20,32.794,42.764,48.337,14.715,18.733,20.47,11.438,12.468,13.326,1.731,2.323,2.604,2.684,3.349,3.705,1.202,1.388,1.59
C4,uniform,20,20,3.556,5.913,11.96,9.053,10.579,14.566,9.125,9.821,10.32,0.462,0.601,0.913,0.353,0.553,1.379,0.901,1.179,1.508
P2,hub,20,20,130.046,167.873,227.053,348.081,400.827,515.425,26.103,26.815,27.902,0.336,0.465,0.489,4.682,6.241,8.35,13.442,14.691,18.378
P2,uniform,20,20,1.407,5.048,31.662,14.15,18.66,59.968,17.375,20.186,22.841,0.116,0.287,0.467,0.083,0.253,1.539,0.784,0.96,2.925
P3,hub,20,1,34582.515,40905.42,48022.457,39399.389,39399.389,39399.389,1245.331,1826.62,2169.563,0.697,0.697,0.697,42.709,42.802,44.462,49.739,49.739,49.739
P3,uniform,20,19,31.402,106.576,1414.944,54.249,213.775,3798.924,23.609,42.602,225.598,0.39,0.485,0.541,1.388,2.956,8.676,2.426,5.928,22.773
T1,hub,20,20,31.536,36.316,43.179,97.424,109.14,125.868,21.75,23.355,27.192,0.285,0.341,0.358,1.377,1.475,1.713,3.989,4.398,5.017
T1,uniform,20,20,1.745,3.383,5.843,20.177,28.538,40.991,14.527,16.086,16.799,0.099,0.126,0.178,0.124,0.207,0.334,1.347,1.834,2.305
T2,hub,20,20,27.949,40.327,41.735,82.714,103.488,117.422,23.192,23.922,28.514,0.243,0.344,0.395,1.144,1.387,1.493,3.559,3.917,4.426
T2,uniform,20,20,3.15,4.697,14.332,29.628,37.129,50.35,15.553,16.845,20.408,0.102,0.124,0.265,0.192,0.301,0.69,1.862,2.161,2.926
